volunteer,study,activity,measure,mean,std.dev
1,train,Laying,tBodyAcc-X,0.22159824394,0.9360047875220335
1,train,Laying,tBodyAcc-Y,-0.0405139534294,0.8987575102283492
1,train,Laying,tBodyAcc-Z,-0.11320355358,0.8740566070728039
1,train,Laying,tGravityAcc-X,-0.24888179828,0.9158092455630645
1,train,Laying,tGravityAcc-Y,0.70554977346,0.9346516988363951
1,train,Laying,tGravityAcc-Z,0.4458177198,0.8992789391470158
1,train,Laying,tBodyAccJerk-X,0.0810865342,0.9613701886419935
1,train,Laying,tBodyAccJerk-Y,0.0038382040088000002,0.9382625484759727
1,train,Laying,tBodyAccJerk-Z,0.010834236361,0.9588277073812559
1,train,Laying,tBodyGyro-X,-0.016553093978,0.9037917202943825
1,train,Laying,tBodyGyro-Y,-0.064486124088,0.9550753097864885
1,train,Laying,tBodyGyro-Z,0.14868943626,0.9184074606042787
1,train,Laying,tBodyGyroJerk-X,-0.107270949192,0.9343577848617116
1,train,Laying,tBodyGyroJerk-Y,-0.04151728689,0.9701179673450979
1,train,Laying,tBodyGyroJerk-Z,-0.0740501211,0.960998217207259
1,train,Laying,tBodyAccMag,-0.8419291525,0.867281148836479
1,train,Laying,tGravityAccMag,-0.8419291525,0.867281148836479
1,train,Laying,tBodyAccJerkMag,-0.9543962646,0.9406878047940376
1,train,Laying,tBodyGyroMag,-0.874759548,0.876501244363809
1,train,Laying,tBodyGyroJerkMag,-0.96346103,0.94503704991352
1,train,Laying,fBodyAcc-X,-0.9390990524,0.9333670512995191
1,train,Laying,fBodyAcc-Y,-0.86706520518,0.8989320135652095
1,train,Laying,fBodyAcc-Z,-0.8826668762000001,0.8685591570554297
1,train,Laying,fBodyAccJerk-X,-0.9570738838,0.966262392353925
1,train,Laying,fBodyAccJerk-Y,-0.9224626097999999,0.9431953858083636
1,train,Laying,fBodyAccJerk-Z,-0.9480609042,0.9636031487243922
1,train,Laying,fBodyGyro-X,-0.850249174586,0.9083508681240656
1,train,Laying,fBodyGyro-Y,-0.9521914948,0.9551164941609493
1,train,Laying,fBodyGyro-Z,-0.909302721,0.924845845559292
1,train,Laying,fBodyAccMag,-0.8617676481,0.8688338361148843
1,train,Laying,fBodyBodyAccJerkMag,-0.9333003608,0.936231444824185
1,train,Laying,fBodyBodyGyroMag,-0.8621901854,0.876780913784619
